name,half-life
Alteplase,Alteplase has an initial half-life of less than 5 minutes in patients with acute myocardial infarction (AMI). The dominant initial plasma half-life of the 3-hour and the accelerated regimens for AMI are similar.[L43125]
Interferon gamma-1b,-1
Aldesleukin,13 min-85 min
Insulin lispro,After subcutaneous administration of insulin lispro the t<sub>1/2</sub> is shorter than that of regular human insulin (1 versus 1.5 hours respectively).[L47616] For intravenous administration insulin lispro demonstrated a mean t<sub>1/2</sub> of 0.85 hours (51 minutes) and 0.92 hours (55 minutes) respectively for 0.1 unit/kg and 0.2 unit/kg doses and regular human insulin mean t1/2 was 0.79 hours (47 minutes) and 1.28 hours (77 minutes) respectively for 0.1 unit/kg and  0.2 unit/kg doses.[L47616] 
Adalimumab,The mean terminal half-life was approximately 2 weeks ranging from 10 to 20 days across studies.[L35370]
Agalsidase beta,agalsidase beta has a half like of 67 ± 12 min for a 1 mg/kg dose with a mean infusion length of 115 minutes.[L16383]
Baclofen,The half-life is 2-6 hours after oral administration and 1-5 hours following intrathecal administration.[A245338] The apparent elimination half-life of baclofen oral suspension or granules is about 5.6 hours.[L40134]
Amphetamine,The half-life of amphetamine highly depends on the isomer. For d-amphetamine the reported half-life is of approximately 9-11 hours while for l-amphetamine the half-life is reported to be of 11-14 hours. The urine pH can modify this pharmacokinetic parameter which can vary from 7 hours in acid urine to 34 hours for alkaline urine.[A174292]
Phentermine,The mean terminal half-life of phentermine is reported to be of approximately 20 hours.[A174370] In conditions where there is acidic urine (pH <5) the elimination half-life is of 7-8 hours.[T49]
Adapalene,In one clinical study after ten days of treatment with 2g of 0.3% cream or gel  the terminal half-life was between 7 and 51 hours with a mean of 17.2 ± 10.2.[L12873]
Dapsone,28 hours (range 10-50 hours)
Doxycycline,There is limited information available.
Anagrelide,The t<sub>1/2</sub> of anagrelide and its active metabolite 3-hydroxy anagrelide are approximately 1.5 hours and 2.5 hours respectively.[L14153]
Theophylline,8 hours
Acarbose,In healthy volunteers the plasma elimination half-life of acarbose is approximately 2 hours.[L31628]
Acetaminophen,The half-life for adults is 2.5 h after an intravenous dose of 15 mg/kg.[L4396] After an overdose the half-life can range from 4 to 8 hours depending on the severity of injury to the liver as it heavily metabolizes acetaminophen.[A35815]
Metformin,The plasma elimination half-life of metformin is 6.2 hours in the plasma.[L40243] The elimination half-life in the blood is approximately 17.6 hours suggesting that the erythrocyte mass may be a compartment of distribution.[L40243]
Doxylamine,10 hours
Phenylephrine,Intravenous phenylephrine has an effective half life of 5 minutes and an elimination half life of 2.5 hours.[A187379L9416L9410]
Spironolactone,The mean half-life of spironolactone is 1.4 hours. The mean half-life values of its metabolites including canrenone TMS and HTMS are 16.5 13.8 and 15 hours respectively.[L44602]
Methylphenidate,Concerta: The half-life of methylphenidate in adults following oral administration of Concerta® was approximately 3.5 h.[F4474]Biphentin: Methylphenidate is eliminated from plasma with a mean half-life of 2.4 hours in children and 2.1 hours in adults.[F4480]Methylphenidate (immediate release): Methylphenidate is eliminated from the plasma with a mean half-life of 2.4 hours in children and 2.1 hours in adults.[F4483]
Dipivefrin,-1
Loratadine,The elimination half life is approximately 10 hours for loratadine and 20 hours for descarboethoxyloratadine.[A176438]
Acitretin,49 hours (range 33 to 96 hours)
Ketorolac,Ketorolac tromethamine is administered as a racemic mixture therefore the half-life of each enantiomer must be considered. The half life of the S-enantiomer is ~2.5 hours while the half life of the R-enantiomer is ~5 hours. Based on this data the S enantiomer is cleared about twice as fast as the R enantiomer.[L3674]
Chlordiazepoxide,24-48 hours
Albendazole,Terminal elimination half-life ranges from 8 to 12 hours (single dose 400mg).
Tolnaftate,-1
Zafirlukast,10 hours
