key,name
a606008,Phenylephrine
a601105,Pyrethrin and Piperonyl Butoxide Topical
a607073,Antipyrine-Benzocaine Otic
a682871,Hydrocortisone Injection
a601157,Methylprednisolone Injection
a682078,Chlordiazepoxide
a682563,Tetrahydrozoline Ophthalmic
a699012,Abacavir
a617015,"Abacavir, Dolutegravir, and Lamivudine"
a616051,"Abacavir, Lamivudine, and Zidovudine"
a617038,Abaloparatide Injection
a606016,Abatacept Injection
a621024,Idecabtagene Vicleucel Injection
a601132,Amphotericin B Lipid Complex Injection
a617049,Abemaciclib
a603012,Aripiprazole
a615048,Aripiprazole Injection
a611046,Abiraterone
a682018,Methotrexate Injection
a609035,AbobotulinumtoxinA Injection
a619008,Paclitaxel (with albumin) Injection
a603010,Adalimumab Injection
a622008,Abrocitinib
a623035,RSV (Respiratory Syncytial Virus) Vaccine
a603026,Lidocaine Transdermal Patch
a681043,Isotretinoin
a605043,Fentanyl
a618004,Acalabrutinib
a604028,Acamprosate
a601026,Benzoyl Peroxide Topical
a603021,Clindamycin and Benzoyl Peroxide Topical
a696015,Acarbose
a697007,Zafirlukast
a622022,Somatropin Injection
a682619,Pseudoephedrine
a682145,Albuterol Oral Inhalation
a692026,Quinapril
a681006,Theophylline
a682571,Hydrochlorothiazide
a687003,Acebutolol
a625091,Aceclidine Ophthalmic
a602017,Perindopril
a621016,Acetaminophen Rectal
a681004,Acetaminophen
a601005,Acetaminophen and Codeine
a611019,Acetaminophen Injection
a601009,"Acetaminophen, Butalbital, and Caffeine"
a682756,Acetazolamide
a604039,Medroxyprogesterone Injection
a682470,Medroxyprogesterone
a621021,Aspirin Rectal
a682878,Aspirin
a682098,Tetracycline
a699060,Rabeprazole
a601010,Acitretin
a613001,Aclidinium Oral Inhalation
a625071,Acoltremon Ophthalmic
a625013,Acoramidis
a682727,Fluoride
a611004,Tocilizumab Injection
a625090,Cosyntropin Injection
a613006,"Corticotropin, Repository Injection"
a607015,Haemophilus influenzae type b (Hib) Vaccine
a682063,Doxycycline
a682543,Chlorpheniramine
a699047,Ursodiol
a601152,Interferon Gamma-1b Injection
a682224,Dactinomycin
a625001,Alteplase Injection
a601041,Estrogen and Progestin (Hormone Replacement Therapy)
a601247,Risedronate
a696005,Metformin
a699016,Pioglitazone
a601241,Ketorolac Ophthalmic
a606001,Acyclovir Topical
a681045,Acyclovir
a619042,Acyclovir Buccal
a681036,Acyclovir Injection
a619029,Acyclovir Ophthalmic
a616045,Dapsone Topical
a621007,"COVID-19 Vaccine, Viral Vector (Janssen [Johnson and Johnson])"
a607027,"Tetanus, Diphtheria, Pertussis (Tdap) Vaccine"
a623003,Adagrasib
a620010,Crizanlizumab-tmca Injection
a684028,Nifedipine
a682064,Amantadine
a604001,Adapalene
a622011,Tralokinumab-ldrm injection
a611052,Brentuximab Vedotin Injection
a604008,Tadalafil
a682159,Ibuprofen
a601234,Dextroamphetamine and Amphetamine
a615040,Flibanserin
a615005,Riociguat
a682188,Methylphenidate
a682187,Phentermine
a617005,Lixisenatide Injection
a697021,Insulin Lispro Injection
a613031,Ado-trastuzumab Emtansine Injection
a601163,Pamidronate Injection
a603002,Epinephrine Injection
a682221,Doxorubicin
