key,name,side_effects
a606008,Phenylephrine,"['nervousness', 'dizziness', 'sleeplessness']"
a682206,Hydrocortisone,"['nausea', 'headache', 'insomnia', 'acne', 'irregular or absent menstrual periods', 'rash; hives; itching; swelling of the eyes, face, lips, mouth, throat, or tongue; or difficulty breathing or swallowing', 'vomiting', 'diarrhea', 'sudden weight gain; muscle weakness; unusual bruising; swollen face, lower legs, or ankles; depression; or sudden, unusual mood changes', 'hallucinations (seeing things or hearing voices that do not exist), confusion, mania (frenzied or abnormally excited mood), or depression', 'eye pain, redness, or tearing; blurred vision; or other vision problems', 'sore throat, fever, chills, cough, stomach pain, difficult or painful urination, or other signs of infection', 'seizures']"
a682795,Methylprednisolone,"['upset stomach', 'stomach irritation', 'vomiting', 'headache', 'dizziness', 'insomnia', 'restlessness', 'depression', 'anxiety', 'acne', 'increased hair growth', 'easy bruising', 'irregular or absent menstrual periods', 'skin rash', 'swollen face, lower legs, or ankles', 'vision problems', 'cold or infection that lasts a long time', 'muscle weakness', 'black or tarry stool']"
a682078,Chlordiazepoxide,"['drowsiness', 'dizziness', 'tiredness', 'weakness', 'dry mouth', 'diarrhea', 'upset stomach', 'changes in appetite', 'restlessness or excitement', 'constipation', 'difficulty urinating', 'frequent urination', 'blurred vision', 'changes in sex drive or ability', 'shuffling walk', 'persistent, fine tremor or inability to sit still', 'fever', 'difficulty breathing or swallowing', 'severe skin rash', 'yellowing of the skin or eyes', 'irregular heartbeat']"
a699012,Abacavir,"['headache', 'tiredness', 'nausea, vomiting', 'difficulty falling asleep or staying asleep', 'hives, itching, blisters or peeling skin, difficulty swallowing or breathing', 'excessive tiredness; weakness, dizziness or lightheadedness; fast or irregular heartbeat; muscle pain; stomach pain with nausea and vomiting; shortness of breath or difficulty breathing; flu-like symptoms such as fever, chills, or cough; or feeling cold, especially in the arms or legs', 'light-colored bowel movements; yellowing of the skin or eyes; loss of appetite; unusual bleeding or bruising; dark yellow or brown urine; or pain in the upper right part of stomach']"
a621024,Idecabtagene Vicleucel Injection,"['constipation', 'weight loss', 'loss of appetite', 'mouth pain', 'dry mouth', 'dry eyes', 'decreased urination frequency or amount', 'swelling of the eyes, face, lips, tongue, throat, arms, hands, feet, ankles, or lower legs', 'difficulty swallowing', 'rash', 'hives', 'itching']"
a617049,Abemaciclib,"['nausea', 'vomiting', 'stomach pain', 'constipation', 'sores on the lips, mouth, or throat', 'decreased appetite', 'weight loss', 'hair loss', 'itching', 'rash', 'headache', 'changes in taste', 'dizziness', 'joint pain', 'tiredness', 'pain in the upper right part of the stomach', 'yellowing of the skin or eyes', 'loss of appetite', 'bleeding or bruising easily', 'pain in arms or legs', 'swelling of the hands, feet, legs or ankles', 'difficulty breathing or shortness of breath', 'cough with or without mucus', 'chest pain', 'rapid breathing', 'fast, irregular, or pounding heartbeat', 'fever, chills, cough or other signs of infection', 'pale skin']"
a603012,Aripiprazole,"['headache', 'nervousness', 'restlessness', 'dizziness, feeling unsteady, or having trouble keeping your balance', 'heartburn', 'constipation', 'diarrhea', 'stomach pain', 'weight gain', 'changes in appetite', 'increased salivation', 'pain, especially in the arms, legs, or joints', 'tiredness', 'rash; hives; itching; swelling of the eyes, face, mouth, lips, tongue, or throat; or difficulty breathing or swallowing', 'difficulty breathing or swallowing', 'seizures', 'uncontrollable moevments of the face, tongue, or other body parts', 'fever; stiff muscles; sweating; confusion; sweating; or fast, pounding, or irregular heartbeat', 'problems with coordination or increased falls', 'tightening of the neck muscles or throat tightness']"
a611046,Abiraterone,"['joint swelling or pain', 'groin pain', 'hot flashes (a sudden wave of mild or intense body heat)', 'diarrhea', 'constipation', 'heartburn', 'cough', 'sore throat', 'stuffy or runny nose', 'difficulty falling asleep or staying asleep', 'dizziness', 'feeling faint or lightheaded', 'headache', 'confusion', 'fast or irregular heartbeats', 'muscle weakness or aches', 'leg pain', 'swelling of the hands, feet, ankles, or lower legs', 'shortness of breath', 'rash; hives; itching; difficulty breathing or swallowing; or swelling of the face, lips, tongue or throat', 'unusual bruising or bleeding', ',', 'yellowing of the skin or eyes, nausea, vomiting, loss of appetite, extreme tiredness, lack of energy, dark urine, or pain in the upper right part of the stomach', 'flu-like symptoms such as fever', 'blood in urine', 'difficult, painful, or frequent urination', 'falling', 'bone fracture']"
a682019,Methotrexate,"['dizziness', 'drowsiness', 'headache', 'swollen, tender gums', 'reddened eyes', 'hair loss', 'blurred vision or sudden loss of vision', 'seizures', 'confusion', 'weakness or difficulty moving one or both sides of the body', 'loss of consciousness']"
