,key,name,side_effects,processed_side_effects
0,a606008,Phenylephrine,"['nervousness', 'dizziness', 'sleeplessness']","['nervousness', 'dizziness', 'sleeplessness']"
1,a682206,Hydrocortisone,"['nausea', 'headache', 'insomnia', 'acne', 'irregular or absent menstrual periods', 'rash', 'hives', 'itching', 'swelling of the eyes, face, lips, mouth, throat, or tongue', 'difficulty breathing or swallowing', 'vomiting', 'diarrhea', 'sudden weight gain', 'muscle weakness', 'unusual bruising', 'swollen face, lower legs, or ankles', 'depression', 'sudden, unusual mood changes', 'sudden weight gain', 'muscle weakness', 'unusual bruising', 'swollen face, lower legs, or ankles', 'depression', 'sudden, unusual mood changes', 'hallucinations', 'confusion', 'mania', 'eye pain, redness, or tearing', 'blurred vision', 'vision problems', 'sore throat', 'fever', 'chills', 'cough', 'stomach pain', 'difficult or painful urination', 'signs of infection', 'seizures']","['nausea', 'headache', 'insomnia', 'acne', 'irregular or absent menstrual periods', 'rash', 'hives', 'itching', 'swelling of the eyes, face, lips, mouth, throat, or tongue', 'difficulty breathing or swallowing', 'vomiting', 'diarrhea', 'sudden weight gain', 'muscle weakness', 'unusual bruising', 'swollen face, lower legs, or ankles', 'depression', 'sudden, unusual mood changes', 'sudden weight gain', 'muscle weakness', 'unusual bruising', 'swollen face, lower legs, or ankles', 'depression', 'sudden, unusual mood changes', 'hallucinations', 'confusion', 'mania', 'eye pain, redness, or tearing', 'blurred vision', 'vision problems', 'sore throat', 'fever', 'chills', 'cough', 'stomach pain', 'difficult or painful urination', 'signs of infection', 'seizures']"
2,a682795,Methylprednisolone,"['upset stomach', 'stomach irritation', 'vomiting', 'headache', 'dizziness', 'insomnia', 'restlessness', 'depression', 'anxiety', 'acne', 'increased hair growth', 'easy bruising', 'irregular or absent menstrual periods', 'skin rash', 'swollen face, lower legs, or ankles', 'vision problems', 'cold or infection that lasts a long time', 'muscle weakness', 'black or tarry stool']","['upset stomach', 'stomach irritation', 'vomiting', 'headache', 'dizziness', 'insomnia', 'restlessness', 'depression', 'anxiety', 'acne', 'increased hair growth', 'easy bruising', 'irregular or absent menstrual periods', 'skin rash', 'swollen face, lower legs, or ankles', 'vision problems', 'cold or infection that lasts a long time', 'muscle weakness', 'black or tarry stool']"
3,a682078,Chlordiazepoxide,"['drowsiness', 'dizziness', 'tiredness', 'weakness', 'dry mouth', 'diarrhea', 'upset stomach', 'changes in appetite', 'restlessness or excitement', 'constipation', 'difficulty urinating', 'frequent urination', 'blurred vision', 'changes in sex drive or ability', 'shuffling walk', 'persistent, fine tremor or inability to sit still', 'fever', 'difficulty breathing or swallowing', 'severe skin rash', 'yellowing of the skin or eyes', 'irregular heartbeat']","['drowsiness', 'dizziness', 'tiredness', 'weakness', 'dry mouth', 'diarrhea', 'upset stomach', 'changes in appetite', 'restlessness or excitement', 'constipation', 'difficulty urinating', 'frequent urination', 'blurred vision', 'changes in sex drive or ability', 'shuffling walk', 'persistent, fine tremor or inability to sit still', 'fever', 'difficulty breathing or swallowing', 'severe skin rash', 'yellowing of the skin or eyes', 'irregular heartbeat']"
4,a699012,Abacavir,"['headache', 'tiredness', 'nausea, vomiting', 'difficulty falling asleep or staying asleep', 'hives, itching, blisters or peeling skin, difficulty swallowing or breathing', 'excessive tiredness; weakness, dizziness or lightheadedness; fast or irregular heartbeat; muscle pain; stomach pain with nausea and vomiting; shortness of breath', 'difficulty breathing; flu-like symptoms such as fever, chills, or cough; or feeling cold, especially in the arms or legs', 'light-colored bowel movements; yellowing of the skin or eyes; loss of appetite; unusual bleeding or bruising; dark yellow or brown urine; or pain in the upper right part of stomach']","['headache', 'tiredness', 'nausea', 'vomiting', 'difficulty falling asleep or staying asleep', 'hives', 'itching', 'blisters or peeling skin', 'difficulty breathing or swallowing', 'excessive tiredness', 'weakness, dizziness or lightheadedness', 'fast or irregular heartbeat', 'muscle pain', 'stomach pain with nausea and vomiting', 'shortness of breath', 'difficulty breathing', 'flu-like symptoms', 'fever', 'chills', 'cough', 'feeling cold, especially in the arms or legs', 'light-colored bowel movements', 'yellowing of the skin or eyes', 'loss of appetite', 'unusual bleeding or bruising', 'dark yellow or brown urine', 'pain in the upper right part of stomach']"
5,a621024,Idecabtagene Vicleucel,"['constipation', 'weight loss', 'loss of appetite', 'mouth pain', 'dry mouth', 'dry eyes', 'decreased urination frequency or amount', 'swelling of the eyes, face, lips, tongue, throat, arms, hands, feet, ankles, or lower legs', 'difficulty swallowing', 'rash', 'hives', 'itching']","['constipation', 'weight loss', 'loss of appetite', 'mouth pain', 'dry mouth', 'dry eyes', 'decreased urination frequency or amount', 'swelling of the eyes, face, lips, tongue, throat, arms, hands, feet, ankles, or lower legs', 'difficulty swallowing', 'rash', 'hives', 'itching']"
6,a617049,Abemaciclib,"['nausea', 'vomiting', 'stomach pain', 'constipation', 'sores on the lips, mouth, or throat', 'decreased appetite', 'weight loss', 'hair loss', 'itching', 'rash', 'headache', 'changes in taste', 'dizziness', 'joint pain', 'tiredness', 'pain in the upper right part of the stomach', 'yellowing of the skin or eyes', 'loss of appetite', 'bleeding or bruising easily', 'pain in arms or legs', 'swelling of the hands, feet, legs or ankles', 'difficulty breathing or shortness of breath', 'cough with or without mucus', 'chest pain', 'rapid breathing', 'fast, irregular, or pounding heartbeat', 'fever, chills, cough or other signs of infection', 'pale skin']","['nausea', 'vomiting', 'stomach pain', 'constipation', 'sores on the lips, mouth, or throat', 'decreased appetite', 'weight loss', 'hair loss', 'itching', 'rash', 'headache', 'changes in taste', 'dizziness', 'joint pain', 'tiredness', 'pain in the upper right part of the stomach', 'yellowing of the skin or eyes', 'loss of appetite', 'bleeding or bruising easily', 'pain in arms or legs', 'swelling of the hands, feet, legs or ankles', 'difficulty breathing or shortness of breath', 'cough with or without mucus', 'chest pain', 'rapid breathing', 'fast, irregular, or pounding heartbeat', 'fever', 'chills', 'cough', 'signs of infection', 'pale skin']"
7,a603012,Aripiprazole,"['headache', 'nervousness', 'restlessness', 'dizziness, feeling unsteady, or having trouble keeping your balance', 'heartburn', 'constipation', 'diarrhea', 'stomach pain', 'weight gain', 'changes in appetite', 'increased salivation', 'pain, especially in the arms, legs, or joints', 'tiredness', 'rash', 'hives', 'itching', 'swelling of the eyes, face, mouth, lips, tongue, or throat', 'difficulty breathing or swallowing', 'difficulty breathing or swallowing', 'seizures', 'uncontrollable moevments of the face, tongue, or other body parts', 'fever; stiff muscles; sweating; confusion; sweating; or fast, pounding, or irregular heartbeat', 'problems with coordination or increased falls', 'tightening of the neck muscles or throat tightness']","['headache', 'nervousness', 'restlessness', 'dizziness, feeling unsteady, or having trouble keeping your balance', 'heartburn', 'constipation', 'diarrhea', 'stomach pain', 'weight gain', 'changes in appetite', 'increased salivation', 'pain, especially in the arms, legs, or joints', 'tiredness', 'rash', 'hives', 'itching', 'swelling of the eyes, face, mouth, lips, tongue, or throat', 'difficulty breathing or swallowing', 'seizures', 'uncontrollable moevments of the face, tongue, or other body parts', 'fever', 'stiff muscles', 'confusion', 'sweating', 'fast, pounding, or irregular heartbeat', 'problems with coordination or increased falls', 'tightening of the neck muscles or throat tightness']"
9,a682019,Methotrexate,"['dizziness', 'drowsiness', 'headache', 'swollen, tender gums', 'reddened eyes', 'hair loss', 'blurred vision or sudden loss of vision', 'seizures', 'confusion', 'weakness or difficulty moving one or both sides of the body', 'loss of consciousness']","['dizziness', 'drowsiness', 'headache', 'swollen, tender gums', 'reddened eyes', 'hair loss', 'blurred vision or sudden loss of vision', 'seizures', 'confusion', 'weakness or difficulty moving one or both sides of the body', 'loss of consciousness']"
10,a603010,Adalimumab,"['redness, itching, bruising, pain, or swelling in the place you injected adalimumab injection', 'nausea', 'headache', 'back pain', 'numbness or tingling', 'problems with vision', 'weakness in legs', 'dizziness', 'shortness of breath, swelling of the feet, ankles, or lower legs', 'chest pain, shortness of breath, new joint pain, rash, especially a rash on the cheeks or arms that is sensitive to sunlight', 'itching, hives; difficulty breathing or swallowing; swelling of the face, eyes, lips, or mouth', 'unusual bruising or bleeding pale skin', 'red, scaly patches or pus-filled bumps on the skin']","['redness, itching, bruising, pain, or swelling at injection site', 'nausea', 'headache', 'back pain', 'numbness or tingling', 'problems with vision', 'weakness in legs', 'dizziness', 'shortness of breath', 'swelling of the feet, ankles, or lower legs', 'chest pain', 'shortness of breath', 'new joint pain', 'rash, especially a rash on the cheeks or arms that is sensitive to sunlight', 'itching', 'hives', 'difficulty breathing or swallowing', 'swelling of the face, eyes, lips, or mouth', 'unusual bruising or bleeding pale skin', 'red, scaly patches or pus-filled bumps on the skin']"
