key,name,side_effects
682013,Hydromorphone,"['dry mouth', 'nausea, vomiting', 'sweating', 'mood changes', 'flushing', 'itching', 'decreased sexual desire, inability to get or keep an erection', 'rash; hives; hoarseness; difficulty breathing or swallowing; or swelling of the face, mouth, tongue or throat', 'agitation, hallucinations (seeing things or hearing voices that do not exist), fever, sweating, confusion, fast heartbeat, shivering, severe muscle stiffness or twitching, loss of coordination, or diarrhea', 'nausea, vomiting, loss of appetite, weakness, or dizziness', 'new pain or pain from touch or doing ordinary tasks such as combing your hair', 'difficulty swallowing, regurgitation (bringing up swallowed food into throat and mouth), pain in the chest area', 'seizures', 'chest pain, changes in heartbeat', 'extreme drowsiness', 'unusual snoring or long pauses during breaths during sleep']"
682617,Tolnaftate,['skin irritation']
601106,Ranitidine,"['headache', 'constipation', 'diarrhea', 'nausea', 'vomiting', 'stomach pain']"
699026,Tolterodine,"['dry mouth, eyes, or skin', 'headache', 'constipation', 'abdominal pain', 'excessive tiredness', 'difficulty emptying the bladder', 'painful urination', 'swelling of the face, throat, tongue, lips, and eyes', 'difficulty swallowing or breathing']"
603035,Vardenafil,"['headache', 'upset stomach', 'heartburn', 'flushing', 'stuffy or runny nose', 'flu-like symptoms', 'erection that lasts longer than 4 hours', 'sudden severe loss of vision (see below for more information)', 'blurred vision', 'changes in color vision (seeing blue tinge on objects, difficulty telling the difference between blue and green, or difficulty seeing at night)', 'dizziness', 'sudden decrease or loss of hearing', 'ringing in ears', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'hoarseness', 'difficulty breathing or swallowing', 'fainting', 'hives', 'rash']"
609023,Betaxolol,"['extreme tiredness', 'difficulty falling asleep or staying asleep', 'unusual dreams', 'heartburn', 'nausea', 'diarrhea', 'joint pain', 'decreased sexual ability in men', 'cold hands and feet', 'numbness, burning, or tingling in the arms, legs, hands, or feet', 'rash', 'difficulty breathing, especially during activity or when lying down', 'swelling of the arms, hands, feet, ankles, or lower legs', 'unexplained weight gain', 'fast, slow, pounding, or irregular heartbeat', 'chest pain']"
621027,Viloxazine,"['loss of appetite, nausea, vomiting', 'tiredness', 'headache']"
693003,Atovaquone,"['nausea', 'vomiting', 'diarrhea', 'headache', 'dizziness', 'anxiety', 'difficulty falling asleep or staying asleep', 'rash', 'fever', 'swelling of the eyes, face, lips, tongue, mouth, or throat', 'hives', 'difficulty breathing or swallowing', 'hoarseness or throat tightness']"
621047,Belzutifan,"['dizziness', 'tiredness', 'headache', 'nausea, stomach pain, diarrhea, constipation', 'joint, muscle, or bone pain', 'muscle spasms or weakness', 'vision changes', 'weight gain', 'fever, cough,  or other signs of infection', 'swelling of the arms, hands, feet, ankles, or lower legs', 'numbness or tingling in the hands, legs, or feet', 'tiredness, feeling cold, pale skin, shortness of breath, chest pain, or fast heartbeat', 'unusual bleeding or bruising', 'slow, fast, or irregular heartbeat']"
625067,Vimseltinib,"['tiredness', 'numbness, burning, or tingling in the arms, hands, feet, or leg', 'swelling in or around the eye', 'swelling of the hands, feet, ankles, or lower legs', 'yellow eyes or skin, dark urine, loss of appetite, fatigue, nausea, vomiting, fever, or pain or discomfort in right upper stomach area', 'rash, itching, hives, or trouble breathing']"
625107,Nerandomilast,"['diarrhea', 'nausea', 'vomiting', 'weight loss', 'decreased appetite', 'headache', 'back pain', 'fatigue', 'dizziness', 'depression', 'runny nose, cough, sore throat, fever, or chills']"
601242,Meloxicam,"['diarrhea', 'constipation', 'gas', 'sore throat', 'fever', 'blisters', 'rash', 'skin blisters or peeling', 'hives', 'itching', 'swelling of the eyes, face, tongue, lips, or throat', 'difficulty breathing or swallowing', 'hoarseness', 'pale skin', 'fast heartbeat', 'shortness of breath or difficulty breathing', 'unexplained weight gain,', 'swelling in the abdomen, ankles, feet, or legs', 'nausea', 'excessive tiredness', 'lack of energy', 'yellowing of the skin or eyes', 'pain in the right upper part of the stomach', 'flu-like symptoms', 'cloudy, discolored, or bloody urine', 'back pain', 'difficult or painful urination']"
