ml_name,db_name,ml_key
Methyclothiazide,Methyclothiazide,682569
Moxifloxacin,Moxifloxacin,600002
Octreotide,Octreotide,620051
Baricitinib,Baricitinib,618033
Paliperidone,Paliperidone,607005
Pimavanserin,Pimavanserin,616032
Tofacitinib,Tofacitinib,613025
Colestipol,Colestipol,682157
Amantadine,Amantadine,682064
Riluzole,Riluzole,696013
Benzphetamine,Benzphetamine,626014
Patiromer,Patiromer,616012
Doxycycline,Doxycycline,682063
Vosoritide,Vosoritide,622012
Propranolol,Propranolol,682607
Lonafarnib,Lonafarnib,622036
Naratriptan,Naratriptan,601083
Ambrisentan,Ambrisentan,612023
Brensocatib,Brensocatib,625099
Sotagliflozin,Sotagliflozin,624022
Doravirine,Doravirine,618048
Niraparib,Niraparib,617007
Tafenoquine,Tafenoquine,618050
Suvorexant,Suvorexant,614046
Ticagrelor,Ticagrelor,611050
Cefaclor,Cefaclor,682729
Clozapine,Clozapine,691001
Safinamide,Safinamide,617025
Quinapril,Quinapril,692026
Chlordiazepoxide,Chlordiazepoxide,682078
Momelotinib,Momelotinib,623053
Bisoprolol,Bisoprolol,693024
Lomitapide,Lomitapide,614008
Methadone,Methadone,682134
Ganaxolone,Ganaxolone,622058
Cyclosporine,Cyclosporine,601207
Lusutrombopag,Lusutrombopag,618043
Fluvoxamine,Fluvoxamine,695004
Alogliptin,Alogliptin,613026
Methylnaltrexone,Methylnaltrexone,616047
Metolazone,Metolazone,682345
Sebetralstat,Sebetralstat,625087
Elacestrant,Elacestrant,623011
Fruquintinib,Fruquintinib,623060
Rilpivirine,Rilpivirine,611037
Viloxazine,Viloxazine,621027
Amoxicillin,Amoxicillin,685001
Ixazomib,Ixazomib,616008
Mexiletine,Mexiletine,607064
Suzetrigine,Suzetrigine,625039
Flibanserin,Flibanserin,615040
Brexpiprazole,Brexpiprazole,615046
Primidone,Primidone,682023
Benazepril,Benazepril,692011
Captopril,Captopril,682823
Stavudine,Stavudine,694033
Pirtobrutinib,Pirtobrutinib,623012
Teriflunomide,Teriflunomide,613010
Valsartan,Valsartan,697015
Diazepam,Diazepam,682047
Hydromorphone,Hydromorphone,682013
Resmetirom,Resmetirom,624021
Thiothixene,Thiothixene,682867
Osilodrostat,Osilodrostat,625069
Ezogabine,Ezogabine,612028
Estazolam,Estazolam,691003
Pyridostigmine,Pyridostigmine,682229
Oxcarbazepine,Oxcarbazepine,601245
Hydrochlorothiazide,Hydrochlorothiazide,682571
Glyburide,Glyburide,684058
Pyrantel,Pyrantel,682820
Mavorixafor,Mavorixafor,624036
Prednisolone,Prednisolone,615042
Bexagliflozin,Bexagliflozin,623027
Silodosin,Silodosin,609002
Repaglinide,Repaglinide,600010
