key,name
600002,Moxifloxacin
600010,Repaglinide
600014,Montelukast
600027,Insulin Glargine (rDNA origin) Injection
600032,Leflunomide
600034,Delavirdine
600035,Nevirapine
600042,Mifepristone (Mifeprex)
600045,Atorvastatin
601001,Dolasetron
601002,Goserelin Implant
601004,Strontium-89 Chloride
601005,Acetaminophen and Codeine
601006,Hydrocodone Combination Products
601009,"Acetaminophen, Butalbital, and Caffeine"
601010,Acitretin
601011,Alendronate
601012,Alitretinoin
601013,Aluminum Hydroxide and Magnesium Hydroxide
601014,Amiloride and Hydrochlorothiazide
601015,Aminophylline
601017,Amlexanox
601018,Amlodipine and Benazepril
601020,Anagrelide
601023,"Aspirin, Butalbital, and Caffeine"
601024,Belladonna Alkaloid Combinations and Phenobarbital
601025,Benazepril and Hydrochlorothiazide
601026,Benzoyl Peroxide Topical
601027,Bisacodyl
601028,"Bismuth, Metronidazole, and Tetracycline"
601030,Budesonide Nasal Spray
601031,Calcitonin Salmon Nasal Spray
601032,Calcium Carbonate
601033,Candesartan
601034,Captopril and Hydrochlorothiazide
601036,Chlordiazepoxide and Clidinium
601038,Cilostazol
601040,Clopidogrel
601041,Estrogen and Progestin (Hormone Replacement Therapy)
601042,Cromolyn Oral Inhalation
601044,Diphenhydramine Topical
601045,Diphenoxylate
601047,Enalapril and Hydrochlorothiazide
601048,Ergotamine and Caffeine
601049,Erythromycin and Sulfisoxazole
601050,Ethinyl Estradiol and Norethindrone (Oral Contraceptives)
601052,Fenofibrate
601053,Fexofenadine and Pseudoephedrine
601054,Fluocinonide Topical
601055,Flurandrenolide Topical
601056,Fluticasone Oral Inhalation
601057,Fluticasone Topical
601059,Guanfacine
601060,Halobetasol Topical
601061,"Neomycin, Polymyxin, Bacitracin, and Hydrocortisone Topical"
601062,Idoxuridine Ophthalmic
601063,Albuterol and Ipratropium Oral Inhalation
601066,Lamivudine and Zidovudine
601067,"Lansoprazole, Clarithromycin, and Amoxicillin"
601068,Levodopa and Carbidopa
601070,Lisinopril and Hydrochlorothiazide
601072,Magnesium Gluconate
601073,Magnesium Hydroxide
601074,Magnesium Oxide
601076,Methyldopa and Hydrochlorothiazide
601077,Methylergonovine
601078,Metipranolol Ophthalmic
601079,Miglitol
601081,Mycophenolate
601082,Nafarelin Nasal Spray
601083,Naratriptan
601084,Nicotine Transdermal Patch
601085,Nitroglycerin Transdermal Patch
601086,Nitroglycerin Sublingual
601087,Nystatin and Triamcinolone
601088,Olsalazine
601090,Paregoric
601091,Penbutolol
601092,Pentazocine
601096,Pirbuterol Acetate Oral Inhalation
601097,Polyethylene glycol-electrolyte solution (PEG-ES)
601098,"Neomycin, Polymyxin, and Bacitracin Topical"
601099,Potassium
601102,Prednisone
601104,Psyllium
601105,Pyrethrin and Piperonyl Butoxide Topical
601106,Ranitidine
601107,Reserpine
601109,Rizatriptan
601111,Spironolactone and Hydrochlorothiazide
601112,Senna
601113,Stool Softeners
601114,Sulfacetamide Ophthalmic
601116,Sumatriptan
601117,Tacrolimus
601118,Testosterone Transdermal Patch
601120,Tiludronate
601121,Tizanidine
601122,Triamcinolone
601124,Triamcinolone Topical
601125,Triamterene and Hydrochlorothiazide
601127,Trimethadione
601128,Trandolapril and Verapamil
601129,Zolmitriptan
601132,Amphotericin B Lipid Complex Injection
601133,Ampicillin Injection
601141,Doxycycline Injection
601142,Famotidine Injection
601143,Fluconazole Injection
601144,Foscarnet Injection
601146,Histrelin Implant
601148,Hydromorphone Injection
601151,Interferon Beta-1b Injection
601152,Interferon Gamma-1b Injection
601154,Levofloxacin Injection
601155,Meperidine Injection
601157,Methylprednisolone Injection
601158,Metoclopramide Injection
601159,Metronidazole Injection
601161,Morphine Injection
601163,Pamidronate Injection
601164,Ranitidine Injection
601165,Co-trimoxazole Injection
601167,Vancomycin Injection
601168,Zidovudine Injection
601169,How to Use Ear Drops
601170,How to Use Eye Ointments and Gels
601171,How to Use Eyedrops
601172,How to Use Metered-Dose Inhalers
601173,How to Use Nose Drops
601174,How to Use Rectal Suppositories
601176,"MMR Vaccine (Measles, Mumps, and Rubella)"
601177,Polio Vaccine
601200,Altretamine
601202,Fentanyl Transdermal Patch
601203,Miconazole Vaginal
601204,Butorphanol Nasal Spray
601206,Cefuroxime
601207,Cyclosporine
601208,Pentamidine Oral Inhalation
601209,Ondansetron
601210,Enoxaparin Injection
601211,Granisetron
601212,Torsemide
601213,Olanzapine
601214,Dolasetron Injection
601230,Alosetron
601232,Brimonidine Ophthalmic
601233,Brinzolamide Ophthalmic
601234,Dextroamphetamine and Amphetamine
601235,Dofetilide
601236,Entacapone
601237,Eprosartan
601240,Hydroxychloroquine
601241,Ketorolac Ophthalmic
601242,Meloxicam
601243,Nedocromil Ophthalmic
601244,Orlistat
601245,Oxcarbazepine
601246,Pantoprazole
601247,Risedronate
601248,Sevelamer
601249,Telmisartan
601250,Temozolomide
601251,Zaleplon
602001,Anakinra
602002,Desloratadine
602004,Linezolid
602006,Estrogen and Progestin (Transdermal Patch Contraceptives)
602007,Pentosan Polysulfate
602008,Progestin-Only (norethindrone) Oral Contraceptives
602009,Rivastigmine
602010,Trimipramine
602013,Etanercept Injection
602014,Glycopyrrolate
602015,Lopinavir and Ritonavir
602016,Modafinil
602017,Perindopril
602018,Tenofovir alafenamide
602019,Diflorasone Topical
602020,Tacrolimus Topical
602021,Choline Magnesium Trisalicylate
602022,Dorzolamide and Timolol Ophthalmic
602023,Formoterol Oral Inhalation
602024,Mometasone Nasal Spray
602025,Olopatadine Ophthalmic
602026,Sirolimus
602027,Travoprost Ophthalmic
